length,algorithm,trial_id,seed,final_energy,success_flag,convergence_gen,runtime_ms,paradox_activity
20,MC,0,200000,-2,,10000,366.51,0
20,MC,1,200001,-3,,10000,324.08,0
20,MC,2,200002,-3,,10000,321.12,0
20,MC,3,200003,-6,,10000,312.33,0
20,MC,4,200004,-4,,10000,329.42,0
20,MC,5,200005,-5,,10000,326.89,0
20,MC,6,200006,-3,,10000,331.3,0
20,MC,7,200007,-3,,10000,332.05,0
20,MC,8,200008,-5,,10000,322.57,0
20,MC,9,200009,-2,,10000,320.27,0
20,MC,10,200010,-4,,10000,337.08,0
20,MC,11,200011,-4,,10000,326.72,0
20,MC,12,200012,-6,,10000,322.54,0
20,MC,13,200013,-4,,10000,331.0,0
20,MC,14,200014,-4,,10000,325.12,0
20,MC,15,200015,-8,,10000,313.88,0
20,MC,16,200016,-3,,10000,322.78,0
20,MC,17,200017,-6,,10000,317.81,0
20,MC,18,200018,-2,,10000,322.89,0
20,MC,19,200019,-3,,10000,313.59,0
20,MC,20,200020,-3,,10000,322.93,0
20,MC,21,200021,-5,,10000,320.24,0
20,MC,22,200022,-5,,10000,314.25,0
20,MC,23,200023,-6,,10000,319.08,0
20,MC,24,200024,-4,,10000,334.25,0
20,MC,25,200025,-4,,10000,320.3,0
20,MC,26,200026,-3,,10000,318.5,0
20,MC,27,200027,-2,,10000,325.28,0
20,MC,28,200028,-2,,10000,321.91,0
20,MC,29,200029,-5,,10000,332.79,0
20,MC,30,200030,-3,,10000,323.34,0
20,MC,31,200031,-1,,10000,323.14,0
20,MC,32,200032,-3,,10000,313.8,0
20,MC,33,200033,-4,,10000,325.46,0
20,MC,34,200034,-6,,10000,320.09,0
20,MC,35,200035,-3,,10000,313.58,0
20,MC,36,200036,-3,,10000,321.64,0
20,MC,37,200037,-3,,10000,331.03,0
20,MC,38,200038,-4,,10000,328.0,0
20,MC,39,200039,-2,,10000,330.79,0
20,MC,40,200040,-4,,10000,325.92,0
20,MC,41,200041,-9,,10000,326.29,0
20,MC,42,200042,-4,,10000,328.25,0
20,MC,43,200043,-4,,10000,320.17,0
20,MC,44,200044,-2,,10000,322.16,0
20,MC,45,200045,-4,,10000,315.75,0
20,MC,46,200046,-6,,10000,329.53,0
20,MC,47,200047,-3,,10000,323.94,0
20,MC,48,200048,-2,,10000,324.87,0
20,MC,49,200049,-4,,10000,312.65,0
20,MC,50,200050,-4,,10000,328.16,0
20,MC,51,200051,-3,,10000,319.91,0
20,MC,52,200052,-4,,10000,329.5,0
20,MC,53,200053,-4,,10000,317.12,0
20,MC,54,200054,-3,,10000,321.37,0
20,MC,55,200055,-3,,10000,325.66,0
20,MC,56,200056,-2,,10000,322.5,0
20,MC,57,200057,-3,,10000,327.84,0
20,MC,58,200058,-2,,10000,324.53,0
20,MC,59,200059,-3,,10000,325.25,0
20,MC,60,200060,-4,,10000,314.06,0
20,MC,61,200061,-4,,10000,319.13,0
20,MC,62,200062,-5,,10000,320.16,0
20,MC,63,200063,-6,,10000,315.58,0
20,MC,64,200064,-2,,10000,335.22,0
20,MC,65,200065,-2,,10000,326.83,0
20,MC,66,200066,-2,,10000,322.47,0
20,MC,67,200067,-3,,10000,334.87,0
20,MC,68,200068,-4,,10000,328.11,0
20,MC,69,200069,-4,,10000,328.49,0
20,MC,70,200070,-3,,10000,320.64,0
20,MC,71,200071,-4,,10000,316.87,0
20,MC,72,200072,-6,,10000,316.81,0
20,MC,73,200073,-4,,10000,331.41,0
20,MC,74,200074,-5,,10000,327.17,0
20,MC,75,200075,-3,,10000,315.75,0
20,MC,76,200076,-3,,10000,323.86,0
20,MC,77,200077,-3,,10000,309.05,0
20,MC,78,200078,-5,,10000,319.13,0
20,MC,79,200079,-6,,10000,328.3,0
20,MC,80,200080,-2,,10000,321.6,0
20,MC,81,200081,-4,,10000,402.67,0
20,MC,82,200082,-3,,10000,326.88,0
20,MC,83,200083,-3,,10000,323.99,0
20,MC,84,200084,-3,,10000,346.34,0
20,MC,85,200085,-4,,10000,328.36,0
20,MC,86,200086,-5,,10000,322.32,0
20,MC,87,200087,-3,,10000,319.19,0
20,MC,88,200088,-3,,10000,331.05,0
20,MC,89,200089,-2,,10000,320.37,0
20,MC,90,200090,-5,,10000,315.41,0
20,MC,91,200091,-4,,10000,322.11,0
20,MC,92,200092,-3,,10000,319.41,0
