length,algorithm,trial_id,seed,final_energy,success_flag,convergence_gen,runtime_ms,paradox_activity
25,MC,0,250000,-3,,10000,390.43,0
25,MC,1,250001,-2,,10000,397.6,0
25,MC,2,250002,-4,,10000,397.83,0
25,MC,3,250003,-6,,10000,380.5,0
25,MC,4,250004,-2,,10000,372.45,0
25,MC,5,250005,-3,,10000,383.91,0
25,MC,6,250006,-5,,10000,371.03,0
25,MC,7,250007,-2,,10000,365.76,0
25,MC,8,250008,-3,,10000,366.29,0
25,MC,9,250009,-5,,10000,369.81,0
25,MC,10,250010,-4,,10000,375.97,0
25,MC,11,250011,-3,,10000,375.57,0
25,MC,12,250012,-2,,10000,419.55,0
25,MC,13,250013,-6,,10000,388.25,0
25,MC,14,250014,-3,,10000,377.05,0
25,MC,15,250015,-5,,10000,365.68,0
25,MC,16,250016,-4,,10000,368.23,0
25,MC,17,250017,-2,,10000,373.13,0
25,MC,18,250018,-4,,10000,363.63,0
25,MC,19,250019,-5,,10000,367.81,0
25,MC,20,250020,-2,,10000,363.12,0
25,MC,21,250021,-2,,10000,374.32,0
25,MC,22,250022,-3,,10000,400.26,0
25,MC,23,250023,-3,,10000,382.23,0
25,MC,24,250024,-3,,10000,379.58,0
25,MC,25,250025,-4,,10000,482.14,0
25,MC,26,250026,-4,,10000,379.33,0
25,MC,27,250027,-3,,10000,405.23,0
25,MC,28,250028,-5,,10000,378.51,0
25,MC,29,250029,-6,,10000,360.56,0
25,MC,30,250030,-4,,10000,363.2,0
25,MC,31,250031,-3,,10000,376.62,0
25,MC,32,250032,-1,,10000,368.06,0
25,MC,33,250033,-3,,10000,357.56,0
25,MC,34,250034,-4,,10000,384.06,0
25,MC,35,250035,-6,,10000,372.99,0
25,MC,36,250036,-2,,10000,377.16,0
25,MC,37,250037,-3,,10000,382.66,0
25,MC,38,250038,-4,,10000,370.85,0
25,MC,39,250039,-4,,10000,376.61,0
25,MC,40,250040,-3,,10000,375.25,0
25,MC,41,250041,-3,,10000,385.82,0
25,MC,42,250042,-3,,10000,364.63,0
25,MC,43,250043,-4,,10000,366.44,0
25,MC,44,250044,-3,,10000,366.65,0
25,MC,45,250045,-5,,10000,362.16,0
25,MC,46,250046,-3,,10000,361.28,0
25,MC,47,250047,-3,,10000,363.52,0
25,MC,48,250048,-4,,10000,377.86,0
25,MC,49,250049,-4,,10000,365.1,0
25,MC,50,250050,-3,,10000,389.21,0
25,MC,51,250051,-3,,10000,375.54,0
25,MC,52,250052,-3,,10000,371.18,0
25,MC,53,250053,-2,,10000,369.94,0
25,MC,54,250054,-3,,10000,378.33,0
25,MC,55,250055,-3,,10000,365.75,0
25,MC,56,250056,-6,,10000,360.48,0
25,MC,57,250057,-5,,10000,364.43,0
25,MC,58,250058,-5,,10000,365.66,0
25,MC,59,250059,-6,,10000,364.44,0
25,MC,60,250060,-5,,10000,367.27,0
25,MC,61,250061,-4,,10000,373.74,0
25,MC,62,250062,-4,,10000,373.05,0
25,MC,63,250063,-3,,10000,371.81,0
25,MC,64,250064,-6,,10000,366.01,0
25,MC,65,250065,-4,,10000,369.84,0
25,MC,66,250066,-3,,10000,376.47,0
25,MC,67,250067,-4,,10000,370.38,0
25,MC,68,250068,-3,,10000,363.1,0
25,MC,69,250069,-3,,10000,376.86,0
25,MC,70,250070,-2,,10000,370.38,0
25,MC,71,250071,-6,,10000,360.2,0
25,MC,72,250072,-5,,10000,370.05,0
25,MC,73,250073,-3,,10000,358.44,0
25,MC,74,250074,-5,,10000,368.42,0
25,MC,75,250075,-5,,10000,381.32,0
25,MC,76,250076,-3,,10000,369.08,0
25,MC,77,250077,-3,,10000,369.09,0
25,MC,78,250078,-3,,10000,361.88,0
25,MC,79,250079,-6,,10000,362.42,0
25,MC,80,250080,-5,,10000,360.92,0
25,MC,81,250081,-4,,10000,374.22,0
25,MC,82,250082,-3,,10000,356.3,0
25,MC,83,250083,-3,,10000,361.72,0
