length,algorithm,trial_id,seed,final_energy,success_flag,convergence_gen,runtime_ms,paradox_activity
50,MC,0,500000,-15,,10000,2484.79,0
50,MC,1,500001,-15,,10000,2382.72,0
50,MC,2,500002,-12,,10000,2497.64,0
50,MC,3,500003,-12,,10000,2480.13,0
50,MC,4,500004,-10,,10000,2422.94,0
50,MC,5,500005,-13,,10000,2487.17,0
50,MC,6,500006,-10,,10000,2471.2,0
50,MC,7,500007,-12,,10000,2425.04,0
50,MC,8,500008,-17,,10000,2453.05,0
50,MC,9,500009,-10,,10000,2425.01,0
50,MC,10,500010,-13,,10000,2459.0,0
50,MC,11,500011,-19,,10000,2403.56,0
50,MC,12,500012,-10,,10000,2515.54,0
50,MC,13,500013,-13,,10000,2432.93,0
50,MC,14,500014,-14,,10000,2508.97,0
50,MC,15,500015,-17,,10000,2515.35,0
50,MC,16,500016,-10,,10000,2647.62,0
50,MC,17,500017,-16,,10000,2459.36,0
50,MC,18,500018,-13,,10000,2445.22,0
50,MC,19,500019,-11,,10000,2437.62,0
50,MC,20,500020,-19,,10000,2433.84,0
50,MC,21,500021,-12,,10000,2465.38,0
50,MC,22,500022,-11,,10000,2448.38,0
50,MC,23,500023,-17,,10000,2424.76,0
50,MC,24,500024,-13,,10000,2420.0,0
50,MC,25,500025,-17,,10000,2516.93,0
50,MC,26,500026,-10,,10000,2461.17,0
50,MC,27,500027,-14,,10000,2396.0,0
50,MC,28,500028,-20,,10000,2485.37,0
50,MC,29,500029,-20,,10000,2424.27,0
50,MC,30,500030,-17,,10000,2446.77,0
50,MC,31,500031,-10,,10000,2456.06,0
50,MC,32,500032,-15,,10000,2427.7,0
50,MC,33,500033,-11,,10000,2404.84,0
50,MC,34,500034,-21,,10000,2392.73,0
50,MC,35,500035,-9,,10000,2531.0,0
50,MC,36,500036,-11,,10000,2469.24,0
50,MC,37,500037,-12,,10000,2428.51,0
50,MC,38,500038,-17,,10000,2398.3,0
50,MC,39,500039,-8,,10000,2412.08,0
