length,algorithm,trial_id,seed,final_energy,success_flag,convergence_gen,runtime_ms,paradox_activity
35,MC,0,350000,-5,,10000,615.69,0
35,MC,1,350001,-5,,10000,646.01,0
35,MC,2,350002,-4,,10000,609.16,0
35,MC,3,350003,-5,,10000,611.9,0
35,MC,4,350004,-5,,10000,597.34,0
35,MC,5,350005,-4,,10000,616.04,0
35,MC,6,350006,-3,,10000,601.42,0
35,MC,7,350007,-4,,10000,600.41,0
35,MC,8,350008,-5,,10000,614.98,0
35,MC,9,350009,-3,,10000,722.18,0
35,MC,10,350010,-3,,10000,603.88,0
35,MC,11,350011,-2,,10000,622.47,0
35,MC,12,350012,-3,,10000,611.79,0
35,MC,13,350013,-3,,10000,598.99,0
35,MC,14,350014,-5,,10000,602.08,0
35,MC,15,350015,-3,,10000,607.4,0
35,MC,16,350016,-3,,10000,604.36,0
35,MC,17,350017,-6,,10000,593.99,0
35,MC,18,350018,-4,,10000,600.41,0
35,MC,19,350019,-3,,10000,610.44,0
35,MC,20,350020,-4,,10000,593.36,0
35,MC,21,350021,-6,,10000,620.22,0
35,MC,22,350022,-6,,10000,608.62,0
35,MC,23,350023,-3,,10000,637.7,0
35,MC,24,350024,-4,,10000,612.08,0
35,MC,25,350025,-4,,10000,620.69,0
35,MC,26,350026,-6,,10000,610.15,0
35,MC,27,350027,-4,,10000,616.95,0
35,MC,28,350028,-6,,10000,602.08,0
35,MC,29,350029,-6,,10000,620.79,0
35,MC,30,350030,-5,,10000,603.11,0
35,MC,31,350031,-4,,10000,630.41,0
35,MC,32,350032,-7,,10000,611.99,0
35,MC,33,350033,-5,,10000,622.74,0
35,MC,34,350034,-4,,10000,629.22,0
35,MC,35,350035,-4,,10000,623.11,0
35,MC,36,350036,-3,,10000,655.29,0
35,MC,37,350037,-4,,10000,611.06,0
35,MC,38,350038,-4,,10000,618.91,0
35,MC,39,350039,-4,,10000,614.61,0
35,MC,40,350040,-6,,10000,602.75,0
35,MC,41,350041,-5,,10000,612.01,0
35,MC,42,350042,-4,,10000,612.52,0
35,MC,43,350043,-4,,10000,593.79,0
35,MC,44,350044,-5,,10000,596.72,0
35,MC,45,350045,-5,,10000,611.68,0
35,MC,46,350046,-6,,10000,616.38,0
35,MC,47,350047,-6,,10000,612.4,0
35,MC,48,350048,-5,,10000,620.81,0
35,MC,49,350049,-6,,10000,658.35,0
35,MC,50,350050,-5,,10000,647.4,0
35,MC,51,350051,-5,,10000,618.51,0
35,MC,52,350052,-7,,10000,639.0,0
35,MC,53,350053,-5,,10000,607.61,0
35,MC,54,350054,-4,,10000,623.46,0
35,MC,55,350055,-3,,10000,606.67,0
35,MC,56,350056,-5,,10000,614.88,0
35,MC,57,350057,-7,,10000,613.12,0
35,MC,58,350058,-4,,10000,593.81,0
35,MC,59,350059,-2,,10000,601.14,0
35,MC,60,350060,-4,,10000,590.28,0
35,MC,61,350061,-4,,10000,643.95,0
35,MC,62,350062,-4,,10000,654.89,0
35,MC,63,350063,-4,,10000,620.39,0
35,MC,64,350064,-5,,10000,614.17,0
35,MC,65,350065,-3,,10000,641.16,0
35,MC,66,350066,-4,,10000,613.43,0
35,MC,67,350067,-5,,10000,661.31,0
35,MC,68,350068,-6,,10000,731.8,0
35,MC,69,350069,-5,,10000,653.94,0
35,MC,70,350070,-4,,10000,660.11,0
35,MC,71,350071,-4,,10000,645.57,0
35,MC,72,350072,-6,,10000,620.01,0
35,MC,73,350073,-3,,10000,626.32,0
35,MC,74,350074,-5,,10000,611.71,0
35,MC,75,350075,-8,,10000,592.72,0
35,MC,76,350076,-4,,10000,654.21,0
35,MC,77,350077,-7,,10000,614.69,0
35,MC,78,350078,-2,,10000,609.89,0
35,MC,79,350079,-4,,10000,610.48,0
35,MC,80,350080,-3,,10000,613.99,0
35,MC,81,350081,-7,,10000,612.76,0
35,MC,82,350082,-7,,10000,610.12,0
35,MC,83,350083,-6,,10000,617.17,0
35,MC,84,350084,-5,,10000,612.52,0
35,MC,85,350085,-3,,10000,605.77,0
35,MC,86,350086,-4,,10000,600.99,0
35,MC,87,350087,-6,,10000,612.11,0
35,MC,88,350088,-3,,10000,610.78,0
35,MC,89,350089,-4,,10000,612.97,0
35,MC,90,350090,-6,,10000,621.36,0
35,MC,91,350091,-5,,10000,598.99,0
35,MC,92,350092,-4,,10000,621.42,0
35,MC,93,350093,-3,,10000,621.67,0
35,MC,94,350094,-5,,10000,616.29,0
35,MC,95,350095,-4,,10000,611.42,0
35,MC,96,350096,-6,,10000,608.76,0
35,MC,97,350097,-4,,10000,620.62,0
35,MC,98,350098,-6,,10000,600.07,0
35,MC,99,350099,-5,,10000,603.34,0
35,MC,100,350100,-2,,10000,619.21,0
35,MC,101,350101,-4,,10000,618.27,0
35,MC,102,350102,-5,,10000,610.1,0
35,MC,103,350103,-5,,10000,615.75,0
35,MC,104,350104,-3,,10000,610.73,0
35,MC,105,350105,-3,,10000,606.48,0
35,MC,106,350106,-6,,10000,583.36,0
35,MC,107,350107,-2,,10000,606.63,0
35,MC,108,350108,-6,,10000,680.22,0
35,MC,109,350109,-4,,10000,598.45,0
35,MC,110,350110,-3,,10000,606.31,0
35,MC,111,350111,-3,,10000,613.04,0
35,MC,112,350112,-3,,10000,594.0,0
35,MC,113,350113,-6,,10000,596.91,0
35,MC,114,350114,-4,,10000,602.17,0
35,MC,115,350115,-7,,10000,603.33,0
35,MC,116,350116,-5,,10000,604.73,0
35,MC,117,350117,-8,,10000,601.46,0
35,MC,118,350118,-5,,10000,611.76,0
35,MC,119,350119,-6,,10000,597.3,0
35,MC,120,350120,-7,,10000,601.28,0
35,MC,121,350121,-5,,10000,595.11,0
35,MC,122,350122,-3,,10000,601.11,0
35,MC,123,350123,-2,,10000,600.09,0
35,MC,124,350124,-2,,10000,590.57,0
35,MC,125,350125,-7,,10000,613.26,0
35,MC,126,350126,-5,,10000,608.81,0
35,MC,127,350127,-4,,10000,591.7,0
35,MC,128,350128,-6,,10000,609.46,0
35,MC,129,350129,-4,,10000,587.68,0
35,MC,130,350130,-4,,10000,592.03,0
35,MC,131,350131,-5,,10000,606.12,0
35,MC,132,350132,-6,,10000,599.21,0
35,MC,133,350133,-6,,10000,594.62,0
35,MC,134,350134,-6,,10000,599.05,0
35,MC,135,350135,-7,,10000,608.67,0
35,MC,136,350136,-5,,10000,595.89,0
35,MC,137,350137,-3,,10000,613.96,0
35,MC,138,350138,-4,,10000,609.96,0
35,MC,139,350139,-5,,10000,608.66,0
35,MC,140,350140,-5,,10000,600.18,0
35,MC,141,350141,-6,,10000,608.87,0
35,MC,142,350142,-5,,10000,603.17,0
35,MC,143,350143,-5,,10000,600.61,0
35,MC,144,350144,-7,,10000,600.39,0
35,MC,145,350145,-2,,10000,590.43,0
35,MC,146,350146,-6,,10000,596.44,0
35,MC,147,350147,-7,,10000,599.11,0
35,MC,148,350148,-4,,10000,603.2,0
35,MC,149,350149,-7,,10000,676.23,0
35,MC,150,350150,-2,,10000,625.33,0
35,MC,151,350151,-9,,10000,603.62,0
35,MC,152,350152,-4,,10000,595.39,0
35,MC,153,350153,-5,,10000,614.79,0
35,MC,154,350154,-6,,10000,601.88,0
35,MC,155,350155,-7,,10000,590.05,0
35,MC,156,350156,-1,,10000,618.48,0
35,MC,157,350157,-3,,10000,604.74,0
35,MC,158,350158,-5,,10000,604.25,0
35,MC,159,350159,-3,,10000,612.14,0
35,MC,160,350160,-4,,10000,602.8,0
35,MC,161,350161,-4,,10000,608.58,0
35,MC,162,350162,-3,,10000,592.14,0
35,MC,163,350163,-3,,10000,602.65,0
35,MC,164,350164,-4,,10000,597.19,0
35,MC,165,350165,-4,,10000,607.44,0
35,MC,166,350166,-7,,10000,600.96,0
35,MC,167,350167,-3,,10000,711.65,0
35,MC,168,350168,-4,,10000,644.69,0
35,MC,169,350169,-5,,10000,627.81,0
35,MC,170,350170,-3,,10000,617.57,0
35,MC,171,350171,-4,,10000,605.63,0
35,MC,172,350172,-5,,10000,598.74,0
35,MC,173,350173,-5,,10000,603.18,0
35,MC,174,350174,-5,,10000,616.18,0
35,MC,175,350175,-6,,10000,622.35,0
35,MC,176,350176,-7,,10000,659.98,0
35,MC,177,350177,-5,,10000,681.37,0
35,MC,178,350178,-4,,10000,625.63,0
35,MC,179,350179,-5,,10000,616.28,0
35,MC,180,350180,-3,,10000,607.38,0
35,MC,181,350181,-4,,10000,594.27,0
35,MC,182,350182,-5,,10000,623.3,0
35,MC,183,350183,-5,,10000,600.94,0
35,MC,184,350184,-3,,10000,595.94,0
35,MC,185,350185,-4,,10000,602.95,0
35,MC,186,350186,-5,,10000,597.74,0
35,MC,187,350187,-5,,10000,617.53,0
35,MC,188,350188,-4,,10000,601.24,0
35,MC,189,350189,-4,,10000,601.96,0
35,MC,190,350190,-4,,10000,617.44,0
35,MC,191,350191,-8,,10000,614.07,0
35,MC,192,350192,-4,,10000,620.46,0
35,MC,193,350193,-4,,10000,605.7,0
35,MC,194,350194,-3,,10000,606.69,0
35,MC,195,350195,-5,,10000,619.84,0
35,MC,196,350196,-3,,10000,609.37,0
35,MC,197,350197,-5,,10000,605.57,0
35,MC,198,350198,-4,,10000,584.7,0
35,MC,199,350199,-3,,10000,602.36,0
35,FE,0,350200,-8,,100,195.28,151
35,FE,1,350201,-9,,100,205.66,143
35,FE,2,350202,-8,,100,212.06,155
35,FE,3,350203,-11,,100,234.12,161
35,FE,4,350204,-10,,100,217.34,149
35,FE,5,350205,-9,,100,203.02,139
35,FE,6,350206,-8,,100,207.29,146
35,FE,7,350207,-11,,100,218.54,147
35,FE,8,350208,-9,,100,202.09,151
35,FE,9,350209,-12,,100,225.44,153
35,FE,10,350210,-14,,100,215.32,142
35,FE,11,350211,-13,,100,219.43,155
35,FE,12,350212,-9,,100,184.26,162
35,FE,13,350213,-12,,100,226.19,130
35,FE,14,350214,-11,,100,210.52,158
35,FE,15,350215,-12,,100,241.52,148
35,FE,16,350216,-12,,100,224.01,127
35,FE,17,350217,-11,,100,214.71,147
35,FE,18,350218,-13,,100,229.89,152
35,FE,19,350219,-12,,100,223.74,144
35,FE,20,350220,-10,,100,210.25,159
35,FE,21,350221,-12,,100,228.78,170
35,FE,22,350222,-10,,100,214.45,153
35,FE,23,350223,-10,,100,214.76,175
35,FE,24,350224,-11,,100,215.06,144
35,FE,25,350225,-13,,100,215.27,167
35,FE,26,350226,-12,,100,218.81,157
35,FE,27,350227,-9,,100,221.78,139
35,FE,28,350228,-10,,100,216.77,152
35,FE,29,350229,-10,,100,197.64,158
35,FE,30,350230,-11,,100,195.6,161
35,FE,31,350231,-11,,100,289.15,144
35,FE,32,350232,-12,,100,206.42,155
35,FE,33,350233,-13,,100,216.17,188
35,FE,34,350234,-11,,100,233.47,137
35,FE,35,350235,-9,,100,208.22,157
35,FE,36,350236,-13,,100,228.12,128
35,FE,37,350237,-12,,100,221.74,161
35,FE,38,350238,-11,,100,225.17,146
35,FE,39,350239,-12,,100,208.73,151
35,FE,40,350240,-13,,100,223.7,141
35,FE,41,350241,-11,,100,195.22,131
35,FE,42,350242,-13,,100,226.94,138
35,FE,43,350243,-9,,100,209.02,152
35,FE,44,350244,-10,,100,203.49,166
35,FE,45,350245,-10,,100,220.52,165
35,FE,46,350246,-8,,100,242.57,178
35,FE,47,350247,-12,,100,219.58,150
35,FE,48,350248,-10,,100,206.31,143
35,FE,49,350249,-13,,100,222.03,151
35,FE,50,350250,-12,,100,212.71,148
35,FE,51,350251,-9,,100,221.8,172
35,FE,52,350252,-11,,100,223.81,142
35,FE,53,350253,-12,,100,202.93,150
35,FE,54,350254,-12,,100,220.32,156
35,FE,55,350255,-9,,100,209.82,148
35,FE,56,350256,-11,,100,223.82,135
35,FE,57,350257,-10,,100,213.02,132
35,FE,58,350258,-9,,100,221.23,143
35,FE,59,350259,-10,,100,202.9,130
35,FE,60,350260,-12,,100,208.84,142
35,FE,61,350261,-9,,100,202.84,152
35,FE,62,350262,-9,,100,208.87,152
35,FE,63,350263,-14,,100,193.36,137
35,FE,64,350264,-9,,100,224.59,141
35,FE,65,350265,-7,,100,201.87,144
35,FE,66,350266,-9,,100,211.04,160
35,FE,67,350267,-12,,100,207.49,152
35,FE,68,350268,-10,,100,202.69,151
35,FE,69,350269,-9,,100,197.42,143
35,FE,70,350270,-12,,100,207.3,133
35,FE,71,350271,-10,,100,196.63,141
35,FE,72,350272,-9,,100,211.91,151
35,FE,73,350273,-10,,100,207.01,148
35,FE,74,350274,-9,,100,213.59,164
35,FE,75,350275,-10,,100,215.52,143
