length,algorithm,trial_id,seed,final_energy,success_flag,convergence_gen,runtime_ms,paradox_activity
30,MC,0,300000,-3,,10000,419.74,0
30,MC,1,300001,-7,,10000,399.36,0
30,MC,2,300002,-3,,10000,436.19,0
30,MC,3,300003,-5,,10000,410.25,0
30,MC,4,300004,-4,,10000,397.53,0
30,MC,5,300005,-3,,10000,414.64,0
30,MC,6,300006,-3,,10000,405.43,0
30,MC,7,300007,-3,,10000,404.57,0
30,MC,8,300008,-3,,10000,400.48,0
30,MC,9,300009,-3,,10000,400.13,0
30,MC,10,300010,-3,,10000,398.64,0
30,MC,11,300011,-6,,10000,394.49,0
30,MC,12,300012,-2,,10000,398.17,0
30,MC,13,300013,-5,,10000,408.1,0
30,MC,14,300014,-4,,10000,395.34,0
30,MC,15,300015,-2,,10000,404.71,0
30,MC,16,300016,-3,,10000,410.55,0
30,MC,17,300017,-2,,10000,474.76,0
30,MC,18,300018,-4,,10000,410.37,0
30,MC,19,300019,-4,,10000,403.76,0
30,MC,20,300020,-3,,10000,413.99,0
30,MC,21,300021,-4,,10000,421.31,0
30,MC,22,300022,-4,,10000,403.45,0
30,MC,23,300023,-4,,10000,410.93,0
30,MC,24,300024,-1,,10000,392.22,0
30,MC,25,300025,-3,,10000,393.97,0
30,MC,26,300026,-3,,10000,392.24,0
30,MC,27,300027,-4,,10000,403.68,0
30,MC,28,300028,-5,,10000,398.53,0
30,MC,29,300029,-6,,10000,402.84,0
30,MC,30,300030,-3,,10000,421.24,0
30,MC,31,300031,-5,,10000,406.57,0
30,MC,32,300032,-2,,10000,406.95,0
30,MC,33,300033,-2,,10000,418.24,0
30,MC,34,300034,-5,,10000,405.38,0
30,MC,35,300035,-2,,10000,407.92,0
30,MC,36,300036,-3,,10000,404.06,0
30,MC,37,300037,-3,,10000,396.56,0
30,MC,38,300038,-3,,10000,392.66,0
30,MC,39,300039,-4,,10000,404.14,0
30,MC,40,300040,-4,,10000,398.33,0
30,MC,41,300041,-2,,10000,388.36,0
30,MC,42,300042,-3,,10000,392.73,0
